Assessment Name,URL,Test Types,Adaptive,Remote,Description,Job Levels,Languages,Assessment Length,Cleaned Description,Text for Embedding
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior",False,False,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",28,"the cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk. there are multiple configurations and versions of this solution available.","Cashier Solution. the cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk. there are multiple configurations and versions of this solution available.. Duration: 28 mins. Test Type: Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior"
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior",False,False,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,Unknown,"this report is designed to be given to individuals who have completed the global skills assessment (gsa). with coverage across the great 8 domains, this measure of self-reported behaviors offers a complete overview of their current skills. participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Global Skills Development Report. this report is designed to be given to individuals who have completed the global skills assessment (gsa). with coverage across the great 8 domains, this measure of self-reported behaviors offers a complete overview of their current skills. participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.. Duration: Unknown mins. Test Type: Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior"
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Knowledge & Skills,False,False,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,","English (USA),",30,"the.net framework 4.5 test measures knowledge of .net environment. designed for experienced users, this test covers the following topics: application development, application foundation, data modeling, deployment, diagnostics, performance, portability, and security.",".NET Framework 4.5. the.net framework 4.5 test measures knowledge of .net environment. designed for experienced users, this test covers the following topics: application development, application foundation, data modeling, deployment, diagnostics, performance, portability, and security.. Duration: 30 mins. Test Type: Knowledge & Skills"
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Knowledge & Skills,False,False,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,","English (USA),",17,"multi-choice test that measures the knowledge of model-view-controller (mvc) architecture, validation, security, routing, and areas.",".NET MVC (New). multi-choice test that measures the knowledge of model-view-controller (mvc) architecture, validation, security, routing, and areas.. Duration: 17 mins. Test Type: Knowledge & Skills"
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Knowledge & Skills,False,False,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,","English (USA),",5,"multi-choice test that measures the knowledge of mvvm pattern, scenarios, data validation, viewmodel communication and quick-start.",".NET MVVM (New). multi-choice test that measures the knowledge of mvvm pattern, scenarios, data validation, viewmodel communication and quick-start.. Duration: 5 mins. Test Type: Knowledge & Skills"
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Knowledge & Skills,False,False,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,","English (USA),",11,"multi-choice test that measures the knowledge of .net fundamentals, wcf architecture, programming model, soa, managing and programming wcf.",".NET WCF (New). multi-choice test that measures the knowledge of .net fundamentals, wcf architecture, programming model, soa, managing and programming wcf.. Duration: 11 mins. Test Type: Knowledge & Skills"
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Knowledge & Skills,False,False,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,","English (USA),",9,"multi-choice test that measures the knowledge of .net basics, wpf, xaml controls, events, layouts, working with wpf windows/menus and deploying wpf applications.",".NET WPF (New). multi-choice test that measures the knowledge of .net basics, wpf, xaml controls, events, layouts, working with wpf windows/menus and deploying wpf applications.. Duration: 9 mins. Test Type: Knowledge & Skills"
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Knowledge & Skills,False,False,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,","English (USA),",5,"multi-choice test that measures the knowledge of xaml triggers, data binding, custom controls and layouts.",".NET XAML (New). multi-choice test that measures the knowledge of xaml triggers, data binding, custom controls and layouts.. Duration: 5 mins. Test Type: Knowledge & Skills"
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Knowledge & Skills,False,False,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",9,"multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Accounts Payable (New). multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.. Duration: 9 mins. Test Type: Knowledge & Skills"
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Simulations,False,False,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",8,simulated data entry test that measures the ability to process payables and vendor invoices.,Accounts Payable Simulation (New). simulated data entry test that measures the ability to process payables and vendor invoices.. Duration: 8 mins. Test Type: Simulations
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Knowledge & Skills,False,False,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",13,multiple-choice test that measures the knowledge of processing receivables and invoices.,Accounts Receivable (New). multiple-choice test that measures the knowledge of processing receivables and invoices.. Duration: 13 mins. Test Type: Knowledge & Skills
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Simulations,False,False,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",8,simulated data entry test that measures the ability to process receivables and invoices.,Accounts Receivable Simulation (New). simulated data entry test that measures the ability to process receivables and invoices.. Duration: 8 mins. Test Type: Simulations
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Knowledge & Skills,False,False,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,","English (USA),",10,"multi-choice test that measures the knowledge on the concepts of ado.net architecture, components and data provider objects.","ADO.NET (New). multi-choice test that measures the knowledge on the concepts of ado.net architecture, components and data provider objects.. Duration: 10 mins. Test Type: Knowledge & Skills"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,"Personality & Behavior, Simulations, Ability & Aptitude, Biodata & Situational Judgement",False,False,"The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees. Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor. Multiple configurations of this solution are available.","Manager,","English (USA),",48,"the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available.","Claims/Operations Supervisor Solution. the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available.. Duration: 48 mins. Test Type: Personality & Behavior, Simulations, Ability & Aptitude, Biodata & Situational Judgement"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,"Ability & Aptitude, Biodata & Situational Judgement, Competencies, Personality & Behavior, Simulations",False,False,"The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Entry-Level,","English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese,",41,"the contact center + 8.0 - customer service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Contact Center Customer Service + 8.0. the contact center + 8.0 - customer service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.. Duration: 41 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Competencies, Personality & Behavior, Simulations"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",False,False,The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Entry-Level,","English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French,",31,the customer service 8.0 jfa is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Contact Center Customer Service 8.0. the customer service 8.0 jfa is designed for entry-level positions in a contact center environment where the main focus is customer service.. Duration: 31 mins. Test Type: Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are: Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","Manager, Supervisor, Front Line Manager,","English (USA),",50,"the contact center - manager solution is for mid to upper-level contact center managerial positions. sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. potential job titles that use this solution are: contact center team leader, first line supervisor, and contact center manager.","Contact Center Manager - Short Form. the contact center - manager solution is for mid to upper-level contact center managerial positions. sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. potential job titles that use this solution are: contact center team leader, first line supervisor, and contact center manager.. Duration: 50 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,"Personality & Behavior, Biodata & Situational Judgement, Competencies, Ability & Aptitude, Simulations",False,False,"The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Entry-Level,","English International, English (USA),",41,"the contact center + 8.0 - sales & service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Contact Center Sales & Service + 8.0. the contact center + 8.0 - sales & service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.. Duration: 41 mins. Test Type: Personality & Behavior, Biodata & Situational Judgement, Competencies, Ability & Aptitude, Simulations"
